,city,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,Bongandanga,1.5,21.05,294.46,98,100,0.31,CD,1621392289
132,Ubari,26.5921,12.7805,300.02,14,9,6.52,LY,1621392290
133,Nikolskoye,59.7035,30.7861,288.09,92,99,3.12,RU,1621392294
134,Cidreira,-30.1811,-50.2056,285.62,78,0,2.86,BR,1621392295
135,Nioaque,-21.1353,-55.83,297.02,56,65,1.39,BR,1621392297
136,Kruisfontein,-34.0033,24.7314,289.21,34,5,4.27,ZA,1621392299
137,Hailun,47.45,126.9333,295.56,35,68,1.83,CN,1621392301
138,Ahtopol,42.1,27.95,285.41,70,1,3.29,BG,1621392303
139,Bengkulu,-3.8004,102.2655,301.69,67,60,0.4,ID,1621392132
140,Bredasdorp,-34.5322,20.0403,280.77,71,11,1.34,ZA,1621392307
141,Plaster Rock,46.9065,-67.39,286.44,72,4,1.49,CA,1621392310
142,São Filipe,14.8961,-24.4956,297.46,68,100,5.15,CV,1621392312
143,Te Anau,-45.4167,167.7167,283.27,94,100,1.23,NZ,1621392314
144,Sinnamary,5.3833,-52.95,298.2,89,20,4.03,GF,1621392315
145,Talnakh,69.4865,88.3972,268.31,75,79,3.99,RU,1621392317
146,Geraldton,-28.7667,114.6,297.38,67,0,2.87,AU,1621392319
147,Kavieng,-2.5744,150.7967,302.66,69,100,2.64,PG,1621392321
148,Departamento de Maldonado,-34.6667,-54.9167,282.72,90,66,1.47,UY,1621392322
149,Cañar,-2.55,-78.9333,284.17,90,65,3.37,EC,1621392324
150,Chara,56.9064,118.2631,276.14,42,92,1.8,RU,1621392326
151,Saint Paul Harbor,57.79,-152.4072,284.88,58,1,1.54,US,1621392329
152,Maniwaki,46.3834,-75.966,288.45,74,68,0.08,CA,1621392224
153,Wanning,18.8003,110.3967,304.9,63,100,6.39,CN,1621392332
154,Severo-Kuril'sk,50.6789,156.125,283.58,56,1,3.73,RU,1621392334
155,Vaini,-21.2,-175.2,301.24,78,75,3.09,TO,1621392336
156,Kaitangata,-46.2817,169.8464,283.75,94,100,5.05,NZ,1621392338
157,Aklavik,68.2191,-135.0107,285.55,70,78,2.3,CA,1621392137
158,Shirakawa,37.1223,140.2376,292.57,94,100,2.19,JP,1621392341
159,Pingliang,35.5392,106.6861,288.85,56,100,2.73,CN,1621392343
160,Maniitsoq,65.4167,-52.9,275.13,78,17,6.89,GL,1621392344
161,Ponta do Sol,32.6667,-17.1,292.5,69,0,2.57,PT,1621392348
162,Plettenberg Bay,-34.0527,23.3716,288.91,52,9,2.19,ZA,1621392349
163,Pangnirtung,66.1451,-65.7125,269.15,80,90,8.75,CA,1621392351
164,Butaritari,3.0707,172.7902,301.1,77,100,4.38,KI,1621392353
165,Koungou,-12.7336,45.2042,298.99,72,0,6.57,YT,1621392122
166,Olafsvik,64.8945,-23.7142,275.77,69,8,5.44,IS,1621392356
167,Pemberton,50.3164,-122.8027,281.07,77,90,1.92,CA,1621392305
168,Petatlán,17.5167,-101.2667,299.22,71,0,1.02,MX,1621392359
169,Souillac,-20.5167,57.5167,296.36,79,20,4.12,MU,1621392361
170,Upernavik,72.7868,-56.1549,272.91,69,58,4.54,GL,1621392363
171,Warrnambool,-38.3833,142.4833,289.71,53,100,6.46,AU,1621392365
172,Lompoc,34.6391,-120.4579,293.46,70,1,7.72,US,1621392366
173,Alta Floresta,-9.8756,-56.0861,295.05,76,38,1.55,BR,1621392368
174,Martapura,-3.4167,114.85,299.2,61,40,0.96,ID,1621392371
175,Province of Mantua,45.1667,10.7833,287.75,82,100,1.34,IT,1621392373
176,Bayan,46.0833,127.4,296.18,41,90,2.2,CN,1621392375
177,Fairbanks,64.8378,-147.7164,289.13,33,75,3.6,US,1621392087
178,Wajima,37.4,136.9,290.53,93,90,2.24,JP,1621392378
179,Sobolevo,54.4299,31.8996,286.3,95,99,2.29,RU,1621392381
180,Vestmannaeyjar,63.4427,-20.2734,276.96,92,100,4.26,IS,1621392385
181,Jalu,29.0331,21.5482,297.39,22,0,1.0,LY,1621392386
182,Henties Bay,-22.116,14.2845,290.85,79,0,2.05,NA,1621392388
183,Aswān,24.0934,32.907,299.64,22,68,3.11,EG,1621392390
184,Bathsheba,13.2167,-59.5167,300.49,74,40,5.53,BB,1621392392
185,Seoul,37.5683,126.9778,295.93,26,0,2.78,KR,1621391948
186,Kutum,14.2,24.6667,297.09,15,71,2.89,SD,1621392395
187,Arkhangelsk,64.5401,40.5433,291.21,75,20,3.77,RU,1621392186
188,Puka,58.0559,26.2436,286.73,99,100,1.0,EE,1621392398
189,Dalvik,65.9702,-18.5286,274.11,73,85,1.3,IS,1621392400
190,Caravelas,-17.7125,-39.2481,294.56,79,100,0.08,BR,1621392402
191,Mbandaka,0.0487,18.2603,294.22,98,95,0.69,CD,1621392403
192,Faro,37.0194,-7.9322,291.03,88,0,4.12,PT,1621392109
193,Tuktoyaktuk,69.4541,-133.0374,276.15,75,20,5.66,CA,1621392408
194,Lebu,-37.6167,-73.65,287.25,78,100,10.02,CL,1621392410
195,Gore,-46.1028,168.9436,284.39,96,100,3.85,NZ,1621392412
196,Kavaratti,10.5669,72.642,301.78,74,100,5.45,IN,1621392414
197,Deūlgaon Rāja,20.0167,76.0333,299.23,59,100,6.05,IN,1621392415
198,Dikson,73.5069,80.5464,266.67,90,82,1.37,RU,1621392417
199,Nanortalik,60.1432,-45.2371,275.64,75,45,0.58,GL,1621392419
200,Otjiwarongo,-20.4637,16.6477,287.17,36,0,3.82,NA,1621392420
201,Nago,26.5881,127.9761,306.39,76,100,4.43,JP,1621392422
202,East London,-33.0153,27.9116,294.13,33,63,4.28,ZA,1621392424
203,Mar del Plata,-38.0023,-57.5575,286.0,48,40,0.89,AR,1621392176
